class	tweet
0	плачу очень грустными слезами когда в фильмах/сериалах кто-то кушает риталин или аддерал
1	Аххах это как я принимал триттико, меня врач невропатолог спрашивает, вам лучше я говорю нет, она что совсем? Я говорю ещё хуже)))). От них по утрам тяжело вставать оооооочень тяжело.
0	если ты принимаешь прозак, то зачем ты всем об этом говоришь ?
0	Обмельчал нынче хип-хоп. В наше время рэпперы умирали от передоза героином или пулями, как взрослые дяди, а сегодня - мрут от гребанного ксанакса и кодеина, как педики
1	Блин, у меня такое ощущение что Велаксин меня бросает в гипоманию
0	Идет 104-ый день работы без выходных!..🙈🤣 /  / Я пью Метаквалон 15 раз в день, чтобы спина не болела. Адрал, чтобы быть в фокусе. Ксанакс, чтобы снять напряг. Травку, чтобы уснуть. Кокаин, чтобы проснуться. И Морфин, ну, потому что .. https://t.co/zA6dlBuOe4
0	эх ща ток пульмикортом подышу и спать
1	Чувствую себя Элиотом который под аддералом 8 суток не спал мне необходимо как минимум 8 часов здорового сна
1	Метформин имитирует голодание. Опыты на мышах продемонстрировали, что метформин способен продлить жизнь на 10%,
0	Залить «Ксанакс» водкой во вторник вечером
1	дома истинный лазарет: у одного кота температура 41 и 8 лекарств каждое утро, второй хромает на обе лапы после 3 дней уколов ношпы и вообще плотно сидит на габапентине, а меня укачивает до блевотни и темноты в глазах каждый раз, когда пытаюсь дойти хотя бы до ванны.
0	Нахуй валиум и нахуй оксикодон. Правда, нахуй
0	в последний раз чувствовала себя хорошо когда жрала венлафаксин запивая транками. я бы и сейчас села на эту диету, но понимаю, что самолечение, особенно с моим ухудшившимся состоянием - это не выход
0	Месяц уже пью флуоксетин  Ну и где моя анорексичная  худоба ?
0	Дулоксетин, принимаю с июня, сейчас постепенно завершаю курс. Именно его, потому что у меня основной диагноз сопровождался хроническим болевым синдромом. У нас обычно при депрессиях и тревожных расстройствах другое назначают: пакроксетин (паксил) или эсциталопрам (ципралекс).
1	выпить утром кветиапин = спать весь рабочий день
0	Угараю рекламы сеалекса "А ЧТО, А ВДРУГ?" АХАХА
0	@feodosiya16 Ремантадин одно из торговых названий действующего вещества Римантадин. Ошибкой не является. Но я не о препарате, а о действующем веществе. Оно во много раз уступает Тамифлю по спектру, противопоказаниям и эффективности. Но по цене бесспорно выигрывает.
0	или жизнь моя правда так координально изменилась или же дулоксетин, выписанный больше месяца назад в качестве антидепрессанта - действительно, лучшее, что со мной случалось.
0	Лента,  что можете сказать о флуоксетине?
0	прикол дома до сих пор лежит золомакс, который я пила еще прошлым летом, у него даже срок годности истек, а там еще больше половины пластинки обидно, стоил то капец как дорого
1	24.07-105 лет со дня рождения Фрэнсис Кэтлин Олдхэм Келси (1914-2015)-фармаколога. Отказывалась лицензировать выпуск препарата талидомид в США. Вскоре было доказано, что употребление талидомида вызывает серьёзные пороки развития у новорожденных. #медицина #библиотека
1	От этого алпразолама адские отходосы. От ксанакса таких нет.
1	я приняла тогда 1табл.метопролола,полтаблетки веропомила.У меня начался сердечный приступ(у меня порок сердца,надо индивидуально подб.лек-ва
1	Прозак заебись, меня не бесит работа, переносится отлично - как будто просто обычная я, но меня ничего не раздражает. Единственное, что нифига он не стимулирует, спать охота олл дэй, из-за чего приходится пить много много кофе.
0	@SnowyMilk21 + Оксикодон может только частично подавлять абстинентный синдром у людей, принимающих какой-либо другой наркотик. (с) вики
0	Бля а ещё кароче кекаю когда мне говорили типа ФлУоКсЕтИн ПАМОЖЕТ нет, лол Я сижу на бринтелликсе да его вас без рецепта не продадут тупые мои подрушки
1	до этого пила Рексетин, вот с них меня уже в больнице снимали с лютой ломкой. Вообще у всех очень индивидуально
1	Бляха, зарекался ведь пить воткаят после энергетика под баклосаном на пустой желудок. Чет мне хуево, на плечи давит. Мне пизда
0	сука, почему когда обезбаливающие таблетки так нужны - я не могу их найти зато в любой другой день загляну на каждую полку и О, ПРИВЕТ АНАЛЬГИН, НЕ БУДУ ТЕБЯ ДАЛЕКО УБИРАТЬ!!! О, И МЕТОПРОЛОЛ ЗДЕСЬ!!!
1	В голове творится такая хуйня, будто сижу на прозаке, мысли словно утекают в сточные воды. Пока скидываю все на погоду.
0	сборная асматиков и сальбутамола и прочих доппингов победила
0	сердце пульсирует в голове неистово. всё тело трясёт, изображение плывёт. где мой флуоксетин :с
1	Да флуоксетин, т.к. от него аппетит уменьшается и он дешёвый
0	что за колёса, я вижу чота напоминающее триттико например
0	Люди, которые не умерли в 2017 от ксанакса, умрут в 2018 от тайдподс
0	но в последнее время паническое расстройство даёт о себе знать более частыми спазмами депрессивными состояниями и сильнейшими паническими атаками при которых мне даже вентолин не помогает и мне страшно от этого так что завтра/послезавтра я возьму себя в руки и пойду к ней
0	Неизвестно, проникает ли сибутрамин и его метаболиты в грудное молоко
0	отечественный флуоксетин пять лет назад примерно столько и стоил
1	Белый Бим Чёрная ревность в крови есть перестал прозак криво вставлял с травой засада транков нет сна хуй дождешься самооценка ноль не помогает алкоголь сознание спутано бред друзья беспокоятся я с ними груб когда человек влюблён с нихуя он превращается в злобный труп
0	весьма внезапно для себя обнаружила, что час моего бывшего терапевта стоит как — внимание — двести таблеток флуоксетина.
0	Только что в автобусе накормил всех креветками с мака, а потом говорил про флуоксетин)) душевно
1	@LGBT_KISLOTA Сильно болит живот за день до и в первый день. Очень сильно знобит. И не могу есть: если не выпью гору лоперамида, плохо станет от чего угодно и в течение часа. Мне легче, когда двигаюсь, тогда не так плохо всё.
0	Кто-нибудь, подгоните рецептик на венлафаксин, или вообще похуй что-нибудь из СИОЗС, НУУУ БЛЯЯЯЯЯЯЯЯЯЯТЬ ПОЖАЛУЙСТА
1	еще блин Вове врач прописал антибиотик цифран, а я вспомнила, что это уеба, от которой меня жутко мутило, и я еще тогда бросила его пить.   Ну подумала, типа Вове мб норм будет  а нет, его тоже от него тошнит(
0	Сначала они отпускают флуоксетин только по рецепту, а теперь и кетанов, который единственный помогает мне от зубной и головной боли. Ахуенно блять, учитывая то, что пока я запишусь и пока схожу к врачу, хта боль 300 раз начнется и кончится  Почему все так не по-человечески?
0	Обычные парни дарят девушкам цветы. Я - набор целебных трав и сальбутамол.
0	Второй день подряд так стремительно просыпаюсь и собираюсь, что даже забываю принять прозак с утра. Хм.
0	Надо дыхнуть турбухалером но мне лень потом идти в ванную полоскать рот и вообще меня тошнит поэтому лежу очень важные жизненные апдейты которые вам необходимо знать
0	СУКА, я таблетку Сиофора с половиной литра воды глотаю, как будто кулак, а этим  сволочам хоть бы хны https://t.co/5YJQu4V0Dv
0	надо бы уже увеличивать дозу сероквеля, а то сложновато, но тогда будет нереально просыпаться в девять утра   или съездить к психиатрине за новым препаратом для утра, но это опять муки подбора
0	@Dr_ulitka спасибо за пост про кашель! мне очень актуально, тк участковый педиатр очень любит назначить сироп, когда кашель от насморка или беродуал/пульмикорт, когда хрипов нет и я не понимаю, как себя вести.
0	Подарите на НГ ведро ксанакса, пж
1	Пью прозак Не могу пока сказать что появилась мотивация жить и работать   Зато тошнит постоянно 🤢 и настроение скачет от нормального (жизнь прикольная штука)  до рыдального (my life sucks).
1	приступ начался из за вентолина но без него я не могу дышать от спазмов выбирай стул так сказать
1	Из глаз выветрилась жуть самозахаванности, такая, как у Глебушки на афишах. Это было красиво, но очень больно. *Пока неуверенно* спасибо, тразодон.
0	В США живут такие же мещанские ублюдки, которые не дают детям аддерал от СДВГ и считают своих детей "детьми индиго".
0	Тамифлю. Больше лекарств с доказанным антигриппозным действием на российском рынке нет
1	очень люблю нечаянно пропускать прием прегабалина а потом удивляться что ж мне так хуево
0	15 ноября - международный день борьбы с ксанаксом. Сожри максимально много блять
1	опытным путем пришла к выводу: флуоксетин мне надо пить с перерывами иначе начинает херачить к ночи па снихуя + фенибут на постоянке
1	Если не знаешь ОРЗ у тебя или ОРВИ-выпей антигриппин от UPSA. Не вылечит, но симптомы снимет.Ежели грипп,то тамифлю или реленза (они рекомендованы ВОЗ).Остальное ( типа кагоцел,ингавирин)-шляпа
0	ну в россиюшке ксанакс хуй раздобудешь!
1	Кстати, циклодоша та ещё беда. Из как минимум 3 моих хороших знакомых тупо быстро и резко на моих глазах чисто слетели с катушек и необратимо деградировали. И баклофен ещё. Эти два препарата я считаю абсолютным злом.
1	Я сейчас пью паксил + кветиапин. Уже полгода. Мне отменили мощный транквилизатор и меня накрывает эмоциями, врач говорит что это нормально и надо перетерпеть
1	уже ловлю приходы от сальбутамола
0	Номидес и ринопронт, будешь как новенький!
1	при приеме сиофора влияеет ли на потенцию
0	Пойду лучше ксанакса съем. @enzymekillah @2R42K47R1LL за вас ребята
0	Всё-таки провизоры - моя огромная и искренняя любовь.  -Симбалту 60мг, пожалуйста. -Такого нету, а что это? А Новопассит пробовали? А давайте я вам Флукосетин пробью, тоже антидепрессант, берут!
0	Ну вот, снова настало время завтракать и ужинать прозаком
1	симбалта/иксель но симбалта лучше именно для сосредоточения и повышения самоконтроля и силы воли а иксель больше просто энергию даёт и ещё делает тебя злым и хорни эз фак так что не наш выбор
0	-Какие препараты используют в терапии СД2? - Метформин! - Так. Ещё - Бигуаниды. Препарат метформин - А ещё? - Я про метформин забыла сказать
0	-ты какие таблетки пьёшь, у меня есть -ксанакс
0	@a_physician еще как от депрессии. Выбросьте из головы дурацкий миф что депрессия это недостаток Прозака в организме. Вас наебывают, что есть какая-то разница между т.н. "обычной" депрессией и т.н. "клинической". Читните Йохана Хари.
0	У найтивыход новый альбом БЛЯ ПОЧ МЫ ЕЩЁ НЕ НАПИЛИСЬ И НЕ НАГЛОТАЛИСЬ КСАНАКСА
1	Я: от кветиапина меня вырубает  Психиатр: увЕЛИЧИТБ ДОЗУ
0	Ляяя, как же меня заебали одноклассниковые видосы, которые мне шлют в ватсап: Улыбнись новому дню! Жизнь прекрасна! Счастливого, сука, четверга, восхитительного понедельника,изумительной среды! Вы там все на Прозаке, блять, сидите, что ли?! Откуда столько упоротого позитива?
1	Держал только Паксил. От Велафакса и Тералиджена вообще мало толку. Одна сонливость и ещё более депрессивная апатия. Атаракс быстро тоже не помогает. Возвращаться к Паксилу уже поздно.  Чёртова суицидальная хандра. Помогает алкоголь, но днём его нельзя. Мир умирает- это прекрасно
1	А еще вот. В феврале у меня был общий кризис, и тут я решила перестать пить АД (велаксин). Работал он слабо, плюс меня от него жутко рвало. Хуже не стало, и я подумала, что ура, стрессовый фактор (ДНР) ушел. А на самом деле, мне было плохо, а начинает лучшеть только сейчас!
0	К доктору мне типа надо, доктор меня про детство поспрашивает, прозак пропишет. Не хочу. Как проблемы создавать, так привет, а как разруливать, так страусов не пугать, пол бетонный
0	есть выход на прозак и на его более дешёвые аналоги, если что
1	Зипрекса- полный пиздец. самый сильный нейролептик-антипсихотик. из моего опыта: мне назначил его доктор-ебантяй, думая что у меня совсем пиздец проблемы с башкой. так вот, от ЧЕТВЕРТИНКИ я спал ДВОЕ СУТОК БЛЯТЬ, ДВОЕ
1	короче, когда мне снизили дозу венлафаксина, мне через какое-то время стало полегче. два дня мне было сносно, я даже смогла съездить к полине, убраться в комнате и сделать ещё пару мелких дел. на этом всё, сейчас я опять лежу и от тахикардии в груди жжёт
0	@_kardemomme21 то есть тебе тоже плохо? милаааая, выпей панкреатин или лоперамид, что то в этом роде, они помогают хорошо
1	Щас бы выпить ксанакса и уснуть. Крутая штука
1	Вставило от алпразолама я успокоилась но теперь все такое странное
0	Йуля:Йя устрою вам зарплаты,медицина это моя тема!Тамифлю и скорые,вспомните
0	Я нахуй не знаю что пить феназепам или прозак или все одновременно ебаный галоперидол
0	-Твоя кошка под ксанаксом что ли? Я буду звать ее Лил-Ксан
1	сука, вспоминаю как в ночь на пятницу ко мне во сне под баклофеном пришел дремин и затер за жизнь и, блять, был максимально прав
0	Противовирусное кагоцел или ингавирин. При гриппе тамифлю.
0	С 2000г из него научились получать шикимовую кислоту, которую применяют для синтеза осельтамивира — активного вещества медикамента против гриппа, в том числе птичьего гриппа.
0	Порекомендуйте, пожалуйста, хорошего врача-эндокринолога. И еще, кому назначили Эутирокс? Ваши отзывы. Спасибо. / #врачи@nashebutovo
0	чиста катя ксанакс пасы, я переименовываюсь
0	На паре: Препод-разложены препараты Импаза, простамол, сеалекс, красный корень студенты-а для чего красный корень? препод-для красного корня
1	сейчас чуть не сдох в горле запершило кашлять начал думал все пизда приступ а симбикорт высоко поставлен
0	вот так вот влюбишься а потом бери и запивай прозак водкой
0	Пошлите капать ципрофлоксацин и диклофенак в глаз
1	Препарат снимает спазм легких, который свойственен для астмы. Вы сколько не бегайте, устанете, но бронхоспазма у вас не будет. Вы тоже можете попробовать вентолин после бега - ничего не изменится.
0	Таблетки, таблетки, таблетки, я снова закидываюсь паксилом, но какие-то болезни просто неизлечимы
0	Есть перестал, прозак криво вставлял, с травой засада Транков нет, сна хуй дождёшся, самооценка ноль, не помогает алкоголь Сознание спутано, бред, друзья беспокоятся, я с ними груб Когда человек влюблён с нихуя, он превращается в злобный труп На него жалко смотреть,
0	Алаказам алпразолам! Ток он в наркот.списке)
0	Сальбутамол у них есть, во всяком случае по словам практикующего стоматолога.
1	4. три года пью антидепрессанты. первый был флуоксетин, потом флюанксол+паксил, сейчас карбамазепин+велаксин. пью большую дозу, но, если честно, не чувствую эффекта (пробовал не пить - незначительно хуже). замечено: выматывающие полнометражные сны и отсутствие интереса к сексу
1	я триттико пью, он нетипичный и повышает либидо хихи :D тоже СИОЗС больше не выписывают
0	@FialkaOlga Олечка, антибиотики срочно надо! Такая температура это  ахтунг! И еще есть препарат ТАМЕФЛЮ вродь так. Или наше ФЛУСТОП аналог.
0	И некрооргию подхватывает первый канал. Там Юрий Антонов с песней про чьи-то зеленые глаза, и что именно это ему нужно для счастья. Дедушка, для счастья тебе прозак нужен уже. Хотя, наверное, уже и для него поздновато.
0	Захожу в аптеку. Под песню азазло я хочу умереть покупаю флуоксетин.
0	Эмоции переполняют меня. Злость, ненависть, грусть, боль, обида, страх - всё это внутри меня Не могу больше это терпеть. В субботу пойду за Флуоксетином У мозгоеба больше не была и это хорошо Но была у нормального врача Это было слишком тупо Все такие понимающие блять, что смешно
1	@catspirit ну в моем случае комбо венлафаксина\миртазапина странное. ибо один хрен овощем хожу-лежу, лол.
1	у меня от паксила челюсти сводит. Особенно мучительно зевать
0	причем его «нация прозака», от которой у меня лимфоузел щаз отвалится, чую, как раз после нее и шла
0	@9an9sta9an9sta отвечаю: ципролет. мне: дада, точно. говорю: ципролетом лечат воспаления, вызванные на бытовой почве, а не на вирусной
0	@krsysztoff Бринтелликс плюс карбамазепин плюс феназепам. Раньше был кветиапин, заменили.
1	Побочки метформина — это такая дрянь, уважаемые, что у меня даже приличного слова не находится. Лежу, дышу, пытаюсь не сильно умирать.
0	Просто тебе ксанакса и сиропа в комплект не додали.
0	Похудение с помощью Глюкофажа: правда и домыслы о самом препарате и его результативности
0	Женя @KYevgeni твою дочь убивают Кветиапином! Срочно проси на Сероквель перевести! Он очищенный, а не Гавно дженерик российский!
0	@SofiyaSophie Я на оксикодона даже дважды иду, один раз на трибуну в Олимпийском, второй раз в танцпартер в Нижнем Новгороде И на Вячеслава иду
0	походу снова надо флуоксетин покупать и феназепам в придачу
0	и нет бля никаких секретов счастья потому что вечного тупо халявного и легко получаемого  счастья нахуй нет, прегабалин и котята не в счет если что. пиздец кругом обман. а все началось с того что я купила просроченные грибы блять. сука.
1	@alonsokexano Пойти к психиатру и сказать, что чот мне не очень, но есть объективные причины, что делать? У тебя не Паксил был, случайно? А то с них ещё слезать надо медленно и печально, сокращая до 1/4, иначе может ломать.
1	Проебала три капсулы флуоксетина. Думаю, все понимают моё состояние, которое просто НА ГРАНИ
0	свадьбу отмечали по традиции Оксикодоном?
0	Купить Ксанакс, препарат в наличии в Москве -
0	Без назначения враса лечатся только кретины. Прозак не лечит депрессию, а всего лишь устраняет симптомы, (в частности тревогу) регулирует аппетит. Назначают, как правило при нервной булимии.
0	из жизни аллергиков: когда сальбутамол остается на донышке, он в дрянь невкусный
0	Венлаксор. 7 полезных свойств и противопоказаний.
1	На самом деле я была удивлена, насколько совпало то, что у меня нашли и то, о чем ты писал, там было про инсулинорезистентность, если не ошибаюсь. В общем, я уже вторые сутки хожу в легком недоумении и панике - Глюкофаж и достинекс могут превратить в овощ, или это я умираю? Ахах
0	к тамифлю и намордникам - там тема понажористее
0	Жду когда стану старым включаю голубой огонёк а там Паша Техник в новогоднем свитере под акустику будет петь про ксанакс #рэп #музыка
1	Сушняк от прозака - наверное самый дикий и регулярный, что были в моей жизни. Пиздец какой-то.
0	Ну и что? Эти бесплатые лекарства бывают неэффективны, вот мне бесплатно выдают "метформин" израильский, но он не снижает сахар ни на йоту(( глюкофаж (тот же метформин, но французский) более эффективен, но он в список бесплатных не входит, приходится покупать за кровные((Москва
0	Так выпьем же Терафлю, линекс, смекту, лоперамид с кусочками мукалтина! Плевать на Всех я миксую как хочу
0	Я люблю паксил но без атаракса я все же не могу засыпать, не говорю об этом психиатру, чтоб он не переназначил основные ады)))  Пиздец я ужасный пациент
0	Тамифлю хорошо и быстро помогает!
0	Ни у кого нет, случаем, прозака или ксанакса, м?
0	Это уже ебаная безысходность. Когда спрашивают, какую вкусняшку тебе купить, а твой ответ - «оксикодон и феназепам»
0	ПОЧЕМУ Я ОРУ С РЕКЛАМЫ МАКСИГРЫ
1	Мне определенно нравится спать без кошмаров и шутить тупые шуточки под флуоксетином.
0	Сальбутамол мне пжл 2 вдоха
0	Капец, забила искать и читать клинические исследования по лечение рака метформином по отдельности, это невозможно.
0	все: антигриппин, ксанакс, нурофен  я: эм энд эмс 💚❤️💙
0	а ты без рецепта пробовала что-нибудь брать? Думаю уже наесться каким-нибудь прозаком
1	ципролет и за 4 дня всё проходит. если горло, то фурацилин. а ломка это просто симптом, ничего не поделаешь. не умирай, Ань.
0	Алпразолам это не то чего вы ждёте
0	Дорогой старбакс,почему ты все еще не спонсируешь мне прозак
1	Никогда не принимайте АД #Пароксетин  От него вас так разнесёт, шо пиздец   Единственный плюс - это гордиться потом, что похудел на 15 кг  Ну или не похудел 😬🤷🏼‍♀️
0	мне сменили сероквель на джчтототам и я на больничном, stay tuned
0	Второй месяц сижу на флуоксетине и благодаря этому чувствую себя прекрасно
0	купили баклосан ну че угадайте кому пизда в среду :))))
0	@fevralether Фликсоназе Вам в помощь.
0	пациент: доктор, у меня не получается иметь половые сношения с женщинами врач: но вы же сами мне жаловались на приеме, что у вас больное сердце пациент: что? врач: метопролол 10 мг 2 раза в день дальше говорю принимайте *пациентское недоумение
1	А помнишь Элис как март 2012го просто проспала весь. на прозаке. вот ведь классно было.
1	оно роняет давление. я от сероквеля не раз в обмороки падал.
0	Привет, я Аддерал, и я темная версия Паника хд
0	@pixinguinha33 ты утверждаешь, что Фрум и сегодня на передозе, и сегодня  за счет сальбутамола такую термоядерную атаку провел?
1	никакой флуоксетин не поможет такой долбоёбке как я нахуй я его пачками жру толку ноль
0	@razdelnaya хехе нужен ксанакс туц тутуц
0	в конце концов, зачем-то я же отжал рексетин у матери.
0	@Juliette77777 Что-то я подумал,что Крестор я по утрам пью🤔А надо на ночь?
1	У меня большие вопросы к своему организму То есть под гидазепамом ты, сучара, засыпаешь намертво, а под прописанным врачом кветиапином - нет? Ты должен был бороться со злом, а не примкнуть к нему! Я мечтаю ощутить выспанность по утрам, а не чувство выползания из вязкого болота
0	Даже в завещании указывать то и некого) Да и брать особо нечего. Что был, что не был, и не заметно.  Вечер депрессии продолжается, я нашел заначку паксила) Всем мир! ✌
1	Понял что сероквель можно использовать как рекреационный наркотик: выпил пару таблеток и спишь видишь сны
1	какая разница из-за чего покончить с собой: из-за депрессии, или предлагаемо набранных 20 кг от сероквеля?
1	«БАКЛОСАН ПОЛНАЯ ХУЙНЯ, КОТОРУЮ НЕЛЬЗЯ КОНТРОЛИРОВАТЬ, ОТ КОТОРОЙ ПРОТЕКАЕТ КОЛПАК, ЕСЛИ НА НЕЕ ПОДСЯДИТЕ ВЫ В ФИНАЛЕ: ОКАЖИТЕСЬ В ПСИХУШКЕ, ПУСКАЯ СЛЮНИ.., С ОРГАНИЧЕСКИМ ПОРАЖЕНИЕМ ГОЛОВНОГО МОЗГА И ВДРЫЗГ РАЪЕБАНОЙ НЕРВНОЙ СИСТЕМОЙ!!!!!»
1	@denegnetnixya @soskoter @elenash500 Но ты смогла!! А муж три раза бросал, мы три раза страдали, в последний раз я подключила прозак и витамины, было легче. Продержался 2 года и закурил(!
1	Здравствуйте!скажите пожалуйста может ли прием эутирокса быть причиной головокружения?
0	Это жи прозак жи =))
1	Ебашим флуоксетин, клиническая повторная депрессия, класс блять.
0	самое интересное то,что она с диагнозом нервная анррексия выписала флуоксетин (его анорексички добывают без рецепта всеми силами шоб голод перебить)
0	Но как и все психостимуляторы (аддерал, риталин) модафинил повышает концентрацию дофамина, норэпинефрина и, вдобавок, он является препаратом, который влияет на обратный захват серотонина, повышая и его концентрацию в мозге.
0	Судя по всему, не только Аддералл, но вообще все стимуляторы, которые невероятно нужны людям с СДВГ, в России запрещены. Огонь.
0	@ludwig095 @pesni_o_dyshnom А вы 300 мг прегабалина примите, и социофобию как рукой снимет.
1	мне интересно если я забью на то, что от прозака задыхаюсь, и буду пить двойную дозу как раньше, мне полегчает типа? я уже готова
1	Объёбаный от ксанакса лежу на заднем сиденье
0	Нуу где же реклама Сеалекса: чтобы славно отдохнуть я беру с собой на Юг  #РоссияЧерногория
0	проснулась? хорошо физически себя чувствуешь? тебя не тошнит на 11/10 и ты не чувствуешь себя, как в тумане? не забудь выпить велаксин, чтобы нахуй это все изменить! 😉🤤👍🏽
0	за эти 15 дней, что я тут лежу, я смогла узнать лишь, что мне дают адепресс, труксал и феназепам, ну и сорбифер. а что в капельницах было — я не знаю.
1	ЕСТЬ ПЕРЕСТАЛ, ПРОЗАК КРИВО ВСТАВЛЯЛ.
0	@The__Alchemist главное чтоб следила она за весом, а комплексы, конечно, ни к чему)  у меня была хорошенькая девочка с избыточной массой, прям минимально по сдс, а в итоге ко второму году орды моей набрала и осложнений заработала, теперь метформин пьёт (
0	Это я выходит что-то лит-фрей-деми-куой-реципро-гетерогибкая??? Пойду лучше дальше наслаждаться 2д мужчинами и Соласом😐😶 https://t.co/BJYTeVq2xr
0	Первым же курсом - ципрофлоксацин? Если так, то нах такой специалист.
0	Но если есть в кармане пачка "Сеалекс"
1	М! Кстати. Поздравьте меня. Я спала сегодня четыре часа подряд. А потом ещё три подряд! Спонсор этого - кетилепт. Кетилепт - жесткий транк для лечения шизофрении и биполярки, которых у меня нет.
0	ща какой-нибудь аналог тамифлю придумают и будут разгонять. а, так падажжи, вакцина жи есть, и её надо в срочном порядке сбыть. https://t.co/ALZ6oKDDt0
0	Метформин, возможно, защищает от рака — но только от рака печени | https://t.co/9fU5IFrOpa
0	2009 году Бьорген получила от Международной федерации лыжного спорта (FIS) разрешение на использование препаратов от астмы, которые содержат в себе запрещенные вещества (в частности - сальбутамол).
0	Необходимая в хозяйстве вещь, хотя Россию уже не спасти, Ксанакс блин ((( *читали бы транскрипцию, всё сложилось бы иначе
1	аддерал больше не могу принимать ибо если меняешь дозировку (больше или меньше) то становишься ненормальной и вообще в рф незаконно
0	а про медикаментозно, чем выше тем больше сидят на Ксанаксе и Прозаке. Измененному сознанию недоступно критическое мышление
0	В организме Паксил,тихо шепчет умри,разлюби и забудь, вскройся, и отдохни
1	@daria_calma @proza_c я тоже много лет сидел на эутироксе (синтетический Т4) и при этом имел лишний вес, утомляемость, рассеянное внимание, трудности со сном,  мышечные боли, низкий уровень энергии и т.д.  про то что  моно терапия  синтетическим  т4  мало кому помогает даже при  якобы норм анализах
0	надеюсь, что в аптеку уже привезли мою упаковку паксила, и я не зря припрусь
0	Мне понравилось видео "Василий Власов: Тамифлю - бесполезная пустышка"
0	Завтра иду к неврологу Вопрос на миллион Попросить что-то сильнее флуоксетина или нет?
1	99% жрет флуоксетин. Его всем подрят выписывают. Я его ел 3 месяца подряд в детстве прикола ради, в дозировках значительно превышающих терапевтические и на 3 месяц был вынужден отказаться из-за невыносимой побочки.
0	ну такие, на ксанаксе  #Евровидение2018 #eurovision
0	@sashacalm @nstsi_ и то, и то -- это мои сны под прозаком
0	Иди еще однажды обожрался элькарнитина, уснул, пердел и просыпался от этого. От лоперамида отказался, герой хуев.
0	Закончился флуоксетин и я его себе отменил. Никаких изменений от него не чувствовал все равно.
